TS,IFACE,rxpckps,txpckps,rxkBps,txkBps,rxcmps,txcmps,rxmcsts,ifutil
10:52:01,eth0,10279.12,1093.24,8648.81,240.58,0.00,0.00,1.10,7.09
10:54:01,eth0,10409.42,1057.79,8712.72,232.39,0.00,0.00,1.00,7.14
10:56:01,eth0,10027.47,982.13,8509.98,234.79,0.00,0.00,1.03,6.97
10:58:01,eth0,10433.83,1313.66,8727.92,289.35,0.00,0.00,1.05,7.15
11:00:01,eth0,9794.62,664.93,8522.37,140.12,0.00,0.00,1.04,6.98
11:02:01,eth0,10126.87,492.25,8790.00,102.11,0.00,0.00,1.01,7.20
11:04:01,eth0,9821.16,621.50,8587.17,130.96,0.00,0.00,1.00,7.03
11:06:01,eth0,10010.16,956.11,8479.47,209.59,0.00,0.00,1.20,6.95
11:08:01,eth0,9064.36,46.13,8100.64,10.32,0.00,0.00,1.00,6.64
11:10:01,eth0,9271.49,45.05,8295.06,9.40,0.00,0.00,1.03,6.80
11:12:01,eth0,9149.31,46.43,8203.71,10.64,0.00,0.00,1.07,6.72
11:14:01,eth0,9260.90,36.77,8320.31,8.43,0.00,0.00,1.03,6.82
11:16:01,eth0,9115.34,41.92,8110.19,9.01,0.00,0.00,1.03,6.64
11:18:01,eth0,9028.63,44.38,8142.87,10.27,0.00,0.00,1.10,6.67
11:20:01,eth0,9151.35,43.37,8207.75,9.21,0.00,0.00,1.09,6.72
11:22:01,eth0,9113.11,46.94,8201.84,10.79,0.00,0.00,1.01,6.72
11:24:01,eth0,9173.34,46.21,8170.47,10.48,0.00,0.00,1.00,6.69
11:26:01,eth0,9277.84,41.90,8217.14,9.03,0.00,0.00,1.03,6.73
11:28:01,eth0,9192.41,53.35,8310.58,11.69,0.00,0.00,1.07,6.81
11:30:01,eth0,9165.80,37.37,8277.76,8.05,0.00,0.00,1.03,6.78
11:32:01,eth0,9405.73,50.44,8406.46,11.32,0.00,0.00,1.16,6.89
11:34:01,eth0,9390.96,44.00,8415.68,9.25,0.00,0.00,1.06,6.89
11:36:01,eth0,9600.29,239.47,8452.63,47.44,0.00,0.00,1.04,6.92
11:38:01,eth0,12995.85,3535.86,9723.21,684.33,0.00,0.00,1.01,7.97
11:40:01,eth0,13122.30,3790.31,9270.12,748.97,0.00,0.00,1.03,7.59
11:42:01,eth0,13000.04,3720.39,9256.96,735.39,0.00,0.00,1.06,7.58
11:44:01,eth0,13178.56,3642.89,9562.78,714.42,0.00,0.00,1.00,7.83
11:46:01,eth0,13309.35,3444.28,10026.03,663.38,0.00,0.00,1.04,8.21
11:48:01,eth0,12997.14,3405.61,9829.44,657.31,0.00,0.00,1.15,8.05
11:50:01,eth0,13029.66,3500.55,9730.15,677.87,0.00,0.00,1.05,7.97
11:52:01,eth0,13143.91,3435.42,10016.16,661.85,0.00,0.00,1.02,8.21
11:54:01,eth0,13231.08,3566.51,9954.33,689.05,0.00,0.00,1.00,8.15
11:56:01,eth0,13574.24,3739.01,10492.53,676.84,0.00,0.00,1.11,8.60
11:58:01,eth0,13352.52,3019.80,11359.11,544.97,0.00,0.00,1.00,9.31
12:00:01,eth0,13069.21,3422.50,9904.87,657.07,0.00,0.00,1.03,8.11
12:02:01,eth0,13595.66,3552.93,10051.50,684.42,0.00,0.00,1.03,8.23
12:04:01,eth0,13317.58,3539.44,10103.53,676.68,0.00,0.00,1.03,8.28
12:06:01,eth0,13377.69,3533.31,10309.26,670.43,0.00,0.00,1.14,8.45
12:08:01,eth0,10868.27,1510.74,8983.09,288.87,0.00,0.00,1.00,7.36
12:10:01,eth0,9313.71,51.47,8266.79,10.36,0.00,0.00,1.09,6.77
12:12:01,eth0,9407.10,71.29,8273.24,22.39,0.00,0.00,1.05,6.78
12:14:01,eth0,9279.99,50.55,8162.94,10.12,0.00,0.00,0.99,6.69
12:16:01,eth0,9385.63,56.80,8179.06,11.02,0.00,0.00,1.04,6.70
12:18:01,eth0,9097.17,57.63,7981.83,11.80,0.00,0.00,1.17,6.54
12:20:01,eth0,9221.43,46.20,8090.84,10.00,0.00,0.00,1.03,6.63
12:22:01,eth0,9227.95,51.53,8121.39,11.39,0.00,0.00,1.00,6.65
12:24:01,eth0,9293.73,54.94,8196.02,10.78,0.00,0.00,1.06,6.71
12:26:01,eth0,9588.18,61.87,8344.67,12.74,0.00,0.00,1.01,6.84
12:28:01,eth0,9334.99,56.64,8286.85,11.36,0.00,0.00,1.00,6.79
12:30:01,eth0,9398.22,54.60,8301.76,10.96,0.00,0.00,1.00,6.80
12:32:01,eth0,9414.36,48.61,8190.78,10.90,0.00,0.00,1.07,6.71
12:34:01,eth0,9539.00,55.89,8310.08,10.95,0.00,0.00,1.01,6.81
12:36:01,eth0,9281.01,56.66,8101.23,11.08,0.00,0.00,0.99,6.64
12:38:01,eth0,11368.00,1936.99,8969.49,373.33,0.00,0.00,1.05,7.35
12:40:01,eth0,13117.22,3857.85,9223.24,757.35,0.00,0.00,1.02,7.56
12:42:01,eth0,13151.36,3925.26,9008.98,780.86,0.00,0.00,1.00,7.38
12:44:01,eth0,13398.73,3971.36,9230.04,783.72,0.00,0.00,1.01,7.56
12:46:01,eth0,13224.99,3607.05,9741.51,696.38,0.00,0.00,1.06,7.98
12:48:01,eth0,13321.68,3513.57,9934.31,677.69,0.00,0.00,1.10,8.14
12:50:01,eth0,13386.42,3631.16,9951.65,699.57,0.00,0.00,1.00,8.15
12:52:01,eth0,13436.51,3663.30,9945.68,708.87,0.00,0.00,1.07,8.15
12:54:01,eth0,13580.60,3688.96,10066.02,713.54,0.00,0.00,1.03,8.25
12:56:01,eth0,12146.46,2274.45,9810.72,431.17,0.00,0.00,0.99,8.04
12:58:01,eth0,9632.37,87.77,8436.98,29.82,0.00,0.00,1.00,6.91
13:00:01,eth0,9490.80,58.05,8381.13,12.04,0.00,0.00,1.06,6.87
13:02:01,eth0,9824.37,55.46,8530.27,12.70,0.00,0.00,1.02,6.99
13:04:01,eth0,9566.40,52.56,8428.32,11.17,0.00,0.00,1.00,6.90
13:06:01,eth0,9594.04,54.47,8481.12,10.68,0.00,0.00,1.09,6.95
13:08:01,eth0,9476.16,55.56,8437.90,11.58,0.00,0.00,1.06,6.91
13:10:01,eth0,9574.05,52.60,8519.81,10.42,0.00,0.00,1.00,6.98
13:12:01,eth0,9610.69,51.65,8499.97,11.32,0.00,0.00,1.05,6.96
13:14:01,eth0,9754.85,54.01,8532.66,10.87,0.00,0.00,1.06,6.99
13:16:01,eth0,9644.79,59.05,8414.98,11.21,0.00,0.00,1.01,6.89
13:18:01,eth0,9472.85,55.33,8312.81,11.56,0.00,0.00,1.09,6.81
13:20:01,eth0,9523.05,51.05,8428.34,10.21,0.00,0.00,1.00,6.90
13:22:01,eth0,9607.81,56.25,8453.23,12.85,0.00,0.00,1.08,6.92
13:24:01,eth0,9465.74,56.53,8318.95,11.20,0.00,0.00,1.00,6.81
13:26:01,eth0,10586.94,875.29,8776.19,169.12,0.00,0.00,1.00,7.19
13:28:01,eth0,13010.81,2642.25,10913.15,477.15,0.00,0.00,1.04,8.94
13:30:01,eth0,13189.53,3017.58,10279.76,569.50,0.00,0.00,1.02,8.42
13:32:01,eth0,13317.88,3359.03,10002.51,646.16,0.00,0.00,1.01,8.19
13:34:01,eth0,13003.48,3405.60,9723.38,654.08,0.00,0.00,1.00,7.97
13:36:01,eth0,13274.81,3415.33,10070.83,652.79,0.00,0.00,1.07,8.25
13:38:01,eth0,13336.60,3312.32,10253.00,633.79,0.00,0.00,1.00,8.40
13:40:01,eth0,11289.07,1635.20,9173.68,322.85,0.00,0.00,0.99,7.52
13:42:01,eth0,9372.95,63.24,8237.00,18.16,0.00,0.00,1.05,6.75
13:44:01,eth0,9421.79,52.91,8235.36,13.39,0.00,0.00,1.02,6.75
13:46:01,eth0,9415.54,56.23,8251.10,11.21,0.00,0.00,1.00,6.76
13:48:01,eth0,9211.30,57.46,8201.31,12.58,0.00,0.00,1.10,6.72
13:50:01,eth0,9274.69,76.82,8156.35,17.17,0.00,0.00,1.06,6.68
13:52:01,eth0,9364.40,52.54,8303.84,11.34,0.00,0.00,1.03,6.80
13:54:01,eth0,9269.49,51.42,8287.09,10.14,0.00,0.00,1.00,6.79
13:56:01,eth0,9220.49,53.23,8218.96,10.75,0.00,0.00,1.00,6.73
13:58:01,eth0,9304.03,59.83,8246.07,12.09,0.00,0.00,1.07,6.76
14:00:01,eth0,9617.27,57.79,8435.12,11.44,0.00,0.00,1.00,6.91
14:02:01,eth0,9881.20,57.54,8565.68,12.38,0.00,0.00,1.00,7.02
14:04:01,eth0,9503.46,55.81,8410.63,10.78,0.00,0.00,1.06,6.89
14:06:01,eth0,9299.14,55.70,8207.64,10.85,0.00,0.00,1.10,6.72
14:08:01,eth0,9184.61,54.67,8156.55,11.31,0.00,0.00,1.00,6.68
14:10:01,eth0,11192.01,1845.95,8921.99,354.93,0.00,0.00,1.01,7.31
14:12:01,eth0,13140.64,3891.60,9235.73,763.81,0.00,0.00,1.10,7.57
14:14:01,eth0,13133.76,3936.42,9172.53,776.53,0.00,0.00,1.00,7.51
14:16:01,eth0,13342.51,3857.51,9250.76,760.64,0.00,0.00,1.00,7.58
14:18:01,eth0,13345.34,3770.95,9752.61,728.68,0.00,0.00,1.17,7.99
14:20:01,eth0,13220.10,3681.99,9756.42,709.64,0.00,0.00,1.01,7.99
14:22:01,eth0,13116.30,3716.22,9565.06,718.18,0.00,0.00,0.99,7.84
14:24:01,eth0,13266.97,3726.56,9807.94,718.56,0.00,0.00,1.00,8.03
14:26:02,eth0,13119.81,3647.74,9603.39,705.30,0.00,0.00,1.07,7.87
14:28:01,eth0,11253.94,1952.93,9145.33,369.22,0.00,0.00,1.01,7.49
14:30:01,eth0,9163.90,53.34,8077.22,10.36,0.00,0.00,1.00,6.62
14:32:01,eth0,9530.66,55.56,8296.39,11.68,0.00,0.00,1.20,6.80
14:34:01,eth0,9489.12,56.15,8444.41,10.74,0.00,0.00,1.02,6.92
14:36:01,eth0,9329.02,53.16,8282.04,10.31,0.00,0.00,1.00,6.78
14:38:01,eth0,9185.58,56.24,8200.58,11.54,0.00,0.00,1.01,6.72
14:40:01,eth0,9243.92,53.28,8170.79,10.38,0.00,0.00,1.07,6.69
14:42:01,eth0,9227.14,56.42,8129.86,11.81,0.00,0.00,1.00,6.66
14:44:01,eth0,9177.37,51.92,8130.27,10.16,0.00,0.00,0.99,6.66
14:46:01,eth0,9091.13,49.30,8000.02,9.85,0.00,0.00,1.02,6.55
14:48:01,eth0,9052.65,53.90,8086.24,11.10,0.00,0.00,1.16,6.62
14:50:01,eth0,9243.00,52.55,8127.84,10.32,0.00,0.00,1.00,6.66
14:52:01,eth0,9043.15,53.05,8004.80,11.38,0.00,0.00,1.02,6.56
14:54:01,eth0,9082.73,50.05,8146.37,9.97,0.00,0.00,1.05,6.67
14:56:01,eth0,9145.58,48.50,8132.17,9.85,0.00,0.00,1.01,6.66
14:58:01,eth0,10924.03,1545.60,8978.54,298.60,0.00,0.00,1.01,7.36
15:00:01,eth0,13581.33,3013.97,11560.13,538.86,0.00,0.00,1.00,9.47
15:02:01,eth0,13319.84,3537.59,9910.90,680.67,0.00,0.00,1.07,8.12
15:04:01,eth0,13503.27,3587.88,10067.23,688.80,0.00,0.00,0.99,8.25
15:06:01,eth0,13350.84,3597.11,10052.59,688.16,0.00,0.00,1.09,8.24
15:08:01,eth0,13267.01,3680.20,9912.35,707.78,0.00,0.00,1.07,8.12
15:10:01,eth0,12308.16,2574.17,9835.07,485.06,0.00,0.00,1.01,8.06
15:12:01,eth0,9212.47,50.82,8198.30,11.16,0.00,0.00,1.04,6.72
15:14:01,eth0,9211.29,49.31,8172.73,10.00,0.00,0.00,1.00,6.70
15:16:01,eth0,9289.35,49.43,8201.03,9.98,0.00,0.00,1.07,6.72
15:18:01,eth0,9116.16,50.78,8032.75,10.88,0.00,0.00,1.10,6.58
15:20:01,eth0,9197.62,44.42,8191.45,9.35,0.00,0.00,1.00,6.71
15:22:01,eth0,9164.35,49.15,8131.17,10.97,0.00,0.00,1.05,6.66
15:24:01,eth0,9094.99,47.89,8064.75,9.74,0.00,0.00,1.02,6.61
15:26:01,eth0,9424.00,48.63,8357.01,9.91,0.00,0.00,1.00,6.85
15:28:01,eth0,9109.22,60.28,8096.52,12.38,0.00,0.00,1.00,6.63
15:30:01,eth0,9387.33,49.68,8317.03,10.05,0.00,0.00,1.07,6.81
15:32:01,eth0,9250.73,50.31,8175.86,11.13,0.00,0.00,1.00,6.70
